measure,tp,did_converge,est,se,ci_low,ci_high,p,p_sig,p_adj,p_adj_sig
IL-7,A1,True,-0.722,0.333,-1.374,-0.07,0.03,*,,
IL-7,B1,True,0.405,0.327,-0.235,1.046,0.215,,,
IL-7,B30,True,-0.354,0.313,-0.968,0.26,0.259,,,
IL-12,A1,True,-0.087,0.158,-0.398,0.223,0.581,,,
IL-12,B1,True,-0.181,0.175,-0.525,0.163,0.303,,,
IL-12,B30,True,0.208,0.284,-0.348,0.764,0.464,,,
IL-15,A1,True,0.004,0.004,-0.004,0.012,0.355,,,
IL-15,B1,True,0.003,0.007,-0.01,0.016,0.609,,,
IL-15,B30,True,-0.002,0.008,-0.017,0.014,0.845,,,
IL-16,A1,True,-0.174,0.057,-0.285,-0.064,0.002,**,,
IL-16,B1,True,-0.112,0.029,-0.168,-0.055,0.0,***,,
IL-16,B30,True,-0.06,0.036,-0.13,0.009,0.089,,,
IL-27,A1,True,-0.024,0.149,-0.316,0.267,0.87,,,
IL-27,B1,True,-0.057,0.336,-0.714,0.601,0.866,,,
IL-27,B30,True,0.024,0.32,-0.604,0.652,0.94,,,
TSLP,A1,True,-0.012,0.01,-0.032,0.009,0.264,,,
TSLP,B1,True,0.013,0.009,-0.005,0.031,0.16,,,
TSLP,B30,True,-0.009,0.009,-0.027,0.009,0.322,,,
IL-1RA,A1,True,-0.0,0.0,-0.0,0.0,0.777,,,
IL-1RA,B1,False,0.0,0.0,-0.0,0.0,0.872,,,
IL-1RA,B30,False,-0.0,0.0,-0.0,0.0,1.0,,,
MCP-1,A1,True,-0.0,0.0,-0.0,0.0,0.297,,,
MCP-1,B1,True,-0.0,0.0,-0.0,0.0,0.653,,,
MCP-1,B30,True,-0.0,0.0,-0.0,0.0,0.637,,,
MIP-1beta,A1,True,-0.258,0.14,-0.531,0.016,0.065,,,
MIP-1beta,B1,True,-0.043,0.223,-0.48,0.393,0.846,,,
MIP-1beta,B30,True,-0.027,0.152,-0.326,0.272,0.859,,,
eotaxin,A1,True,0.0,0.0,-0.001,0.001,0.762,,,
eotaxin,B1,True,-0.0,0.0,-0.001,0.001,0.741,,,
eotaxin,B30,True,0.0,0.0,-0.0,0.001,0.386,,,
MCP-4,A1,True,-1.85,2.075,-5.917,2.217,0.373,,,
MCP-4,B1,True,2.329,1.791,-1.181,5.838,0.193,,,
MCP-4,B30,True,-0.834,2.589,-5.908,4.24,0.747,,,
TARC,A1,True,-0.067,0.054,-0.173,0.04,0.219,,,
TARC,B1,True,0.076,0.057,-0.035,0.187,0.179,,,
TARC,B30,True,-0.034,0.038,-0.108,0.04,0.368,,,
MDC,A1,True,0.0,0.0,0.0,0.0,0.004,**,,
MDC,B1,True,0.0,,,,,,,
MDC,B30,True,-0.0,,,,,,,
IP-10,A1,True,-0.0,0.0,-0.001,0.0,0.494,,,
IP-10,B1,True,-0.0,0.0,-0.001,0.0,0.251,,,
IP-10,B30,True,-0.0,0.0,-0.001,0.0,0.151,,,
VEGF,A1,True,-0.242,0.083,-0.404,-0.079,0.004,**,,
VEGF,B1,True,0.047,0.151,-0.25,0.343,0.757,,,
VEGF,B30,True,-0.105,0.133,-0.367,0.156,0.429,,,
VEGF-C,A1,True,-199.963,88.778,-373.965,-25.961,0.024,*,,
VEGF-C,B1,True,-32.648,164.51,-355.081,289.785,0.843,,,
VEGF-C,B30,True,-116.231,161.338,-432.447,199.985,0.471,,,
VEGF-D,A1,True,-0.009,0.004,-0.017,-0.001,0.023,*,,
VEGF-D,B1,True,-0.009,0.005,-0.019,-0.0,0.049,*,,
VEGF-D,B30,True,-0.007,0.005,-0.017,0.003,0.178,,,
PlGF,A1,True,-92.687,47.596,-185.974,0.6,0.051,,,
PlGF,B1,True,-40.725,46.34,-131.549,50.099,0.379,,,
PlGF,B30,True,-89.542,40.997,-169.895,-9.19,0.029,*,,
bFGF,A1,True,0.432,1.399,-2.31,3.174,0.757,,,
bFGF,B1,True,1.824,1.093,-0.319,3.967,0.095,,,
bFGF,B30,True,0.979,1.07,-1.118,3.075,0.36,,,
TIE-2,A1,True,-9951.464,7300.619,-24260.413,4357.486,0.173,,,
TIE-2,B1,True,-1816.555,6424.332,-14408.014,10774.904,0.777,,,
TIE-2,B30,True,4939.996,10494.511,-15628.868,25508.86,0.638,,,
FLT-1,A1,True,-0.004,0.006,-0.015,0.008,0.548,,,
FLT-1,B1,True,0.008,0.008,-0.008,0.023,0.32,,,
FLT-1,B30,True,0.001,0.009,-0.017,0.019,0.909,,,
