measure,tp,did_converge,est,se,ci_low,ci_high,p,p_sig,p_adj,p_adj_sig
infindex,A1,True,-0.499,0.14,-0.773,-0.224,0.0,***,0.0,***
infindex,B1,True,-0.344,0.175,-0.688,-0.0,0.05,,0.058,
infindex,B30,True,-0.377,0.199,-0.766,0.012,0.058,,0.058,
IL-6,A1,True,-0.069,0.022,-0.112,-0.026,0.002,**,0.027,*
IL-6,B1,True,-0.047,0.028,-0.102,0.009,0.1,,0.148,
IL-6,B30,True,-0.058,0.031,-0.118,0.002,0.06,,0.108,
IL-8,A1,True,-0.019,0.006,-0.032,-0.007,0.003,**,0.027,*
IL-8,B1,True,-0.006,0.005,-0.017,0.004,0.23,,0.296,
IL-8,B30,True,-0.012,0.007,-0.026,0.002,0.095,,0.148,
TNF-alpha,A1,True,-0.0,0.001,-0.003,0.003,0.988,,0.988,
TNF-alpha,B1,True,0.001,0.002,-0.002,0.004,0.529,,0.56,
TNF-alpha,B30,True,0.002,0.001,-0.0,0.004,0.06,,0.108,
CRP,A1,True,-0.057,0.027,-0.11,-0.004,0.035,*,0.108,
CRP,B1,True,-0.046,0.028,-0.101,0.01,0.107,,0.148,
CRP,B30,True,-0.072,0.035,-0.141,-0.004,0.037,*,0.108,
IFN-gamma,A1,True,-0.211,0.107,-0.421,-0.001,0.049,*,0.108,
IFN-gamma,B1,True,-0.244,0.114,-0.467,-0.021,0.032,*,0.108,
IFN-gamma,B30,True,-0.175,0.089,-0.349,-0.0,0.05,,0.108,
IL-10,A1,True,0.009,0.004,0.002,0.016,0.009,**,0.054,
IL-10,B1,True,-0.007,0.007,-0.021,0.006,0.273,,0.328,
IL-10,B30,True,-0.006,0.008,-0.022,0.011,0.484,,0.544,
