measure,tp,did_converge,est,se,ci_low,ci_high,p,p_sig,p_adj,p_adj_sig
IL-7,A1,True,-0.728,0.322,-1.36,-0.096,0.024,*,,
IL-7,B1,True,0.453,0.317,-0.169,1.076,0.153,,,
IL-7,B30,True,-0.354,0.313,-0.968,0.26,0.259,,,
IL-12,A1,True,-0.079,0.149,-0.37,0.212,0.595,,,
IL-12,B1,True,-0.173,0.165,-0.496,0.15,0.293,,,
IL-12,B30,True,0.208,0.284,-0.348,0.764,0.464,,,
IL-15,A1,True,0.005,0.004,-0.003,0.012,0.264,,,
IL-15,B1,True,0.003,0.006,-0.009,0.016,0.624,,,
IL-15,B30,True,-0.002,0.009,-0.018,0.015,0.855,,,
IL-16,A1,True,-0.177,0.054,-0.282,-0.072,0.001,**,,
IL-16,B1,True,-0.111,0.027,-0.164,-0.058,0.0,***,,
IL-16,B30,True,-0.06,0.036,-0.13,0.009,0.089,,,
IL-27,A1,True,-0.023,0.14,-0.297,0.251,0.868,,,
IL-27,B1,True,-0.022,0.316,-0.642,0.598,0.944,,,
IL-27,B30,True,0.024,0.32,-0.604,0.652,0.94,,,
TSLP,A1,True,-0.01,0.01,-0.029,0.009,0.312,,,
TSLP,B1,True,0.012,0.009,-0.005,0.029,0.164,,,
TSLP,B30,True,-0.009,0.009,-0.027,0.009,0.322,,,
IL-1RA,A1,False,-0.0,,,,,,,
IL-1RA,B1,False,-0.0,,,,,,,
IL-1RA,B30,False,-0.0,,,,,,,
MCP-1,A1,True,-0.0,0.0,-0.0,0.0,0.118,,,
MCP-1,B1,True,-0.0,0.0,-0.0,0.0,0.596,,,
MCP-1,B30,True,-0.0,0.0,-0.0,0.0,0.468,,,
MIP-1beta,A1,True,-0.245,0.13,-0.5,0.011,0.061,,,
MIP-1beta,B1,True,-0.077,0.207,-0.483,0.328,0.709,,,
MIP-1beta,B30,True,-0.027,0.152,-0.326,0.272,0.859,,,
eotaxin,A1,True,0.0,0.0,-0.001,0.001,0.582,,,
eotaxin,B1,True,-0.0,0.0,-0.001,0.001,0.66,,,
eotaxin,B30,True,0.0,0.0,-0.0,0.001,0.385,,,
MCP-4,A1,True,-1.604,1.946,-5.418,2.209,0.41,,,
MCP-4,B1,True,2.196,1.689,-1.115,5.506,0.194,,,
MCP-4,B30,True,-0.834,2.588,-5.907,4.238,0.747,,,
TARC,A1,True,-0.062,0.052,-0.163,0.039,0.231,,,
TARC,B1,True,0.07,0.054,-0.035,0.175,0.193,,,
TARC,B30,True,-0.034,0.038,-0.108,0.04,0.368,,,
MDC,A1,False,-0.0,,,,,,,
MDC,B1,False,-0.0,,,,,,,
MDC,B30,False,-0.0,,,,,,,
IP-10,A1,True,-0.0,0.0,-0.001,0.0,0.537,,,
IP-10,B1,True,-0.0,0.0,-0.001,0.0,0.23,,,
IP-10,B30,True,-0.0,0.0,-0.001,0.0,0.161,,,
VEGF,A1,True,-0.252,0.078,-0.404,-0.1,0.001,**,,
VEGF,B1,True,0.078,0.145,-0.207,0.362,0.592,,,
VEGF,B30,True,-0.105,0.133,-0.367,0.156,0.429,,,
VEGF-C,A1,True,-203.269,83.679,-367.277,-39.262,0.015,*,,
VEGF-C,B1,True,-26.829,158.12,-336.738,283.08,0.865,,,
VEGF-C,B30,True,-116.231,161.302,-432.377,199.916,0.471,,,
VEGF-D,A1,True,-0.01,0.004,-0.017,-0.002,0.012,*,,
VEGF-D,B1,True,-0.009,0.004,-0.018,-0.0,0.047,*,,
VEGF-D,B30,True,-0.007,0.005,-0.017,0.003,0.177,,,
PlGF,A1,True,-99.185,44.523,-186.448,-11.922,0.026,*,,
PlGF,B1,True,-40.453,44.065,-126.818,45.912,0.359,,,
PlGF,B30,True,-89.542,40.988,-169.877,-9.207,0.029,*,,
bFGF,A1,True,0.305,1.335,-2.311,2.92,0.82,,,
bFGF,B1,True,1.948,1.036,-0.081,3.978,0.06,,,
bFGF,B30,True,0.979,1.069,-1.117,3.075,0.36,,,
TIE-2,A1,True,-10652.629,6845.247,-24069.067,2763.81,0.12,,,
TIE-2,B1,True,-1485.884,6047.855,-13339.461,10367.693,0.806,,,
TIE-2,B30,True,4939.996,10492.072,-15624.088,25504.08,0.638,,,
FLT-1,A1,True,-0.004,0.006,-0.015,0.008,0.533,,,
FLT-1,B1,True,0.008,0.008,-0.007,0.023,0.276,,,
FLT-1,B30,True,0.001,0.009,-0.017,0.019,0.91,,,
