measure,tp,did_converge,est,se,ci_low,ci_high,p,p_sig,p_adj,p_adj_sig
infindex,A1,True,-0.478,0.13,-0.733,-0.222,0.0,***,0.0,***
infindex,B1,True,-0.339,0.168,-0.668,-0.009,0.044,*,0.058,
infindex,B30,True,-0.377,0.198,-0.766,0.012,0.058,,0.058,
IL-6,A1,True,-0.067,0.021,-0.108,-0.026,0.001,**,0.021,*
IL-6,B1,True,-0.048,0.027,-0.1,0.005,0.076,,0.123,
IL-6,B30,True,-0.058,0.031,-0.118,0.002,0.06,,0.115,
IL-8,A1,True,-0.019,0.006,-0.031,-0.007,0.002,**,0.021,*
IL-8,B1,True,-0.006,0.005,-0.016,0.004,0.215,,0.282,
IL-8,B30,True,-0.012,0.007,-0.026,0.002,0.095,,0.143,
CRP,A1,True,-0.053,0.025,-0.102,-0.004,0.036,*,0.111,
CRP,B1,True,-0.047,0.027,-0.1,0.005,0.076,,0.123,
CRP,B30,True,-0.072,0.035,-0.141,-0.004,0.037,*,0.111,
IL-10,A1,True,0.01,0.003,0.003,0.016,0.005,**,0.035,*
IL-10,B1,True,-0.006,0.006,-0.019,0.006,0.312,,0.364,
IL-10,B30,True,-0.006,0.008,-0.022,0.011,0.482,,0.506,
sIL-6R,A1,True,-0.8,0.356,-1.499,-0.102,0.025,*,0.111,
sIL-6R,B1,True,-1.577,1.324,-4.172,1.019,0.234,,0.289,
sIL-6R,B30,True,0.838,0.581,-0.302,1.977,0.15,,0.21,
