measure,tp,smd,smd_ci_low,smd_ci_high,est,se,ci_low,ci_high,p,p_sig,p_adj,p_adj_sig
IL-7,A1,-0.75,-1.62,0.12,-0.277,0.129,-0.531,-0.023,0.032,*,0.252,
IL-7,B1,0.59,-0.24,1.42,0.135,0.101,-0.062,0.333,0.18,,0.509,
IL-7,B30,-0.42,-1.22,0.38,-0.128,0.106,-0.336,0.079,0.225,,0.534,
IL-12,A1,-0.04,-0.81,0.73,-0.022,0.044,-0.109,0.065,0.619,,0.786,
IL-12,B1,-0.08,-0.85,0.69,-0.045,0.041,-0.126,0.035,0.272,,0.567,
IL-12,B30,0.09,-0.68,0.86,0.05,0.066,-0.079,0.18,0.446,,0.653,
IL-15,A1,0.22,-0.56,1.0,0.018,0.022,-0.024,0.061,0.396,,0.653,
IL-15,B1,0.14,-0.63,0.91,0.016,0.032,-0.047,0.079,0.624,,0.786,
IL-15,B30,-0.12,-0.89,0.65,-0.01,0.041,-0.09,0.069,0.798,,0.914,
IL-16,A1,-0.55,-1.37,0.27,-0.212,0.069,-0.347,-0.077,0.002,**,0.063,
IL-16,B1,-0.36,-1.15,0.43,-0.136,0.035,-0.205,-0.067,0.0,***,0.0,***
IL-16,B30,-0.19,-0.97,0.59,-0.073,0.044,-0.159,0.012,0.093,,0.419,
IL-27,A1,-0.01,-0.78,0.76,-0.002,0.035,-0.071,0.066,0.943,,0.963,
IL-27,B1,-0.01,-0.78,0.76,-0.013,0.081,-0.173,0.146,0.87,,0.963,
IL-27,B30,0.01,-0.76,0.78,0.005,0.077,-0.146,0.157,0.945,,0.963,
TSLP,A1,-0.24,-1.02,0.54,-0.054,0.049,-0.149,0.041,0.269,,0.567,
TSLP,B1,0.33,-0.46,1.12,0.061,0.049,-0.035,0.157,0.214,,0.534,
TSLP,B30,-0.32,-1.11,0.47,-0.056,0.047,-0.148,0.035,0.229,,0.534,
IL-1RA,A1,-0.53,-1.35,0.29,-0.147,0.091,-0.326,0.031,0.106,,0.445,
IL-1RA,B1,-0.54,-1.36,0.28,-0.139,0.071,-0.279,0.001,0.052,,0.273,
IL-1RA,B30,-0.78,-1.66,0.1,-0.196,0.065,-0.324,-0.068,0.003,**,0.063,
MCP-1,A1,-0.52,-1.34,0.3,-0.143,0.132,-0.401,0.116,0.279,,0.567,
MCP-1,B1,-0.41,-1.21,0.39,-0.128,0.151,-0.424,0.168,0.398,,0.653,
MCP-1,B30,-0.23,-1.01,0.55,-0.081,0.095,-0.266,0.105,0.395,,0.653,
MIP-1beta,A1,-0.22,-1.0,0.56,-0.106,0.055,-0.213,0.001,0.052,,0.273,
MIP-1beta,B1,-0.06,-0.83,0.71,-0.011,0.088,-0.184,0.162,0.903,,0.963,
MIP-1beta,B30,-0.02,-0.79,0.75,-0.008,0.058,-0.122,0.106,0.895,,0.963,
eotaxin,A1,0.04,-0.73,0.81,0.003,0.073,-0.14,0.147,0.963,,0.963,
eotaxin,B1,-0.22,-1.0,0.56,-0.073,0.074,-0.218,0.073,0.328,,0.646,
eotaxin,B30,0.06,-0.71,0.83,0.025,0.049,-0.07,0.121,0.603,,0.786,
MCP-4,A1,-0.24,-1.02,0.54,-0.143,0.112,-0.362,0.076,0.2,,0.525,
MCP-4,B1,0.18,-0.59,0.95,0.087,0.065,-0.039,0.213,0.178,,0.509,
MCP-4,B30,-0.15,-0.92,0.62,-0.078,0.106,-0.286,0.13,0.461,,0.66,
TARC,A1,-0.26,-1.04,0.52,-0.204,0.18,-0.556,0.149,0.258,,0.567,
TARC,B1,0.37,-0.42,1.16,0.351,0.265,-0.169,0.87,0.186,,0.509,
TARC,B30,-0.15,-0.92,0.62,-0.101,0.127,-0.351,0.149,0.429,,0.653,
MDC,A1,-0.72,-1.58,0.14,-0.156,0.06,-0.273,-0.039,0.009,**,0.113,
