measure,tp,did_converge,est,se,ci_low,ci_high,p,p_sig,p_adj,p_adj_sig
IL-7,A1,True,-0.277,0.129,-0.531,-0.023,0.032,*,0.252,
IL-7,B1,True,0.135,0.101,-0.062,0.333,0.18,,0.509,
IL-7,B30,True,-0.128,0.106,-0.336,0.079,0.225,,0.534,
IL-12,A1,True,-0.022,0.044,-0.109,0.065,0.619,,0.786,
IL-12,B1,True,-0.045,0.041,-0.126,0.035,0.272,,0.567,
IL-12,B30,True,0.05,0.066,-0.079,0.18,0.446,,0.653,
IL-15,A1,True,0.018,0.022,-0.024,0.061,0.396,,0.653,
IL-15,B1,True,0.016,0.032,-0.047,0.079,0.624,,0.786,
IL-15,B30,True,-0.01,0.041,-0.09,0.069,0.798,,0.914,
IL-16,A1,True,-0.212,0.069,-0.347,-0.077,0.002,**,0.063,
IL-16,B1,True,-0.136,0.035,-0.205,-0.067,0.0,***,0.0,***
IL-16,B30,True,-0.073,0.044,-0.159,0.012,0.093,,0.419,
IL-27,A1,True,-0.002,0.035,-0.071,0.066,0.943,,0.963,
IL-27,B1,True,-0.013,0.081,-0.173,0.146,0.87,,0.963,
IL-27,B30,True,0.005,0.077,-0.146,0.157,0.945,,0.963,
TSLP,A1,True,-0.054,0.049,-0.149,0.041,0.269,,0.567,
TSLP,B1,True,0.061,0.049,-0.035,0.157,0.214,,0.534,
TSLP,B30,True,-0.056,0.047,-0.148,0.035,0.229,,0.534,
IL-1RA,A1,True,-0.147,0.091,-0.326,0.031,0.106,,0.445,
IL-1RA,B1,True,-0.139,0.071,-0.279,0.001,0.052,,0.273,
IL-1RA,B30,True,-0.196,0.065,-0.324,-0.068,0.003,**,0.063,
MCP-1,A1,True,-0.143,0.132,-0.401,0.116,0.279,,0.567,
MCP-1,B1,True,-0.128,0.151,-0.424,0.168,0.398,,0.653,
MCP-1,B30,True,-0.081,0.095,-0.266,0.105,0.395,,0.653,
MIP-1beta,A1,True,-0.106,0.055,-0.213,0.001,0.052,,0.273,
MIP-1beta,B1,True,-0.011,0.088,-0.184,0.162,0.903,,0.963,
MIP-1beta,B30,True,-0.008,0.058,-0.122,0.106,0.895,,0.963,
eotaxin,A1,True,0.003,0.073,-0.14,0.147,0.963,,0.963,
eotaxin,B1,True,-0.073,0.074,-0.218,0.073,0.328,,0.646,
eotaxin,B30,True,0.025,0.049,-0.07,0.121,0.603,,0.786,
MCP-4,A1,True,-0.143,0.112,-0.362,0.076,0.2,,0.525,
MCP-4,B1,True,0.087,0.065,-0.039,0.213,0.178,,0.509,
MCP-4,B30,True,-0.078,0.106,-0.286,0.13,0.461,,0.66,
TARC,A1,True,-0.204,0.18,-0.556,0.149,0.258,,0.567,
TARC,B1,True,0.351,0.265,-0.169,0.87,0.186,,0.509,
TARC,B30,True,-0.101,0.127,-0.351,0.149,0.429,,0.653,
MDC,A1,True,-0.156,0.06,-0.273,-0.039,0.009,**,0.113,
MDC,B1,True,-0.046,0.064,-0.171,0.08,0.474,,0.664,
MDC,B30,True,-0.021,0.027,-0.074,0.032,0.437,,0.653,
IP-10,A1,True,-0.041,0.069,-0.175,0.094,0.554,,0.743,
IP-10,B1,True,-0.084,0.057,-0.197,0.028,0.143,,0.509,
IP-10,B30,True,-0.15,0.109,-0.363,0.064,0.17,,0.509,
VEGF,A1,True,-0.211,0.072,-0.353,-0.069,0.004,**,0.063,
VEGF,B1,True,0.041,0.132,-0.217,0.299,0.754,,0.896,
VEGF,B30,True,-0.092,0.116,-0.32,0.135,0.427,,0.653,
VEGF-C,A1,True,-0.193,0.079,-0.347,-0.039,0.014,*,0.147,
VEGF-C,B1,True,0.037,0.125,-0.207,0.281,0.768,,0.896,
VEGF-C,B30,True,-0.098,0.118,-0.328,0.133,0.406,,0.653,
VEGF-D,A1,True,-0.065,0.028,-0.119,-0.01,0.019,*,0.171,
VEGF-D,B1,True,-0.064,0.032,-0.127,-0.001,0.047,*,0.273,
VEGF-D,B30,True,-0.046,0.034,-0.113,0.02,0.174,,0.509,
PlGF,A1,True,-0.099,0.054,-0.204,0.006,0.064,,0.31,
PlGF,B1,True,-0.039,0.042,-0.121,0.042,0.348,,0.648,
PlGF,B30,True,-0.106,0.053,-0.209,-0.003,0.044,*,0.273,
bFGF,A1,True,0.134,0.435,-0.719,0.987,0.758,,0.896,
bFGF,B1,True,0.549,0.363,-0.162,1.261,0.13,,0.509,
bFGF,B30,True,0.302,0.328,-0.341,0.946,0.357,,0.648,
TIE-2,A1,True,-0.051,0.036,-0.121,0.019,0.157,,0.509,
TIE-2,B1,True,-0.004,0.034,-0.071,0.063,0.907,,0.963,
TIE-2,B30,True,0.022,0.051,-0.078,0.123,0.662,,0.818,
FLT-1,A1,True,-0.042,0.062,-0.163,0.079,0.499,,0.683,
FLT-1,B1,True,0.075,0.082,-0.085,0.234,0.36,,0.648,
FLT-1,B30,True,0.005,0.094,-0.18,0.19,0.96,,0.963,
