measure,tp,did_converge,est,se,ci_low,ci_high,p,p_sig,p_adj,p_adj_sig
infindex,A1,True,-0.464,0.143,-0.744,-0.184,0.001,**,0.003,**
infindex,B1,True,-0.408,0.165,-0.732,-0.084,0.014,*,0.021,*
infindex,B30,True,-0.392,0.197,-0.779,-0.005,0.047,*,0.047,*
IL-6,A1,True,-0.186,0.055,-0.293,-0.079,0.001,**,0.009,**
IL-6,B1,True,-0.159,0.069,-0.294,-0.024,0.021,*,0.076,
IL-6,B30,True,-0.159,0.077,-0.31,-0.008,0.039,*,0.1,
IL-8,A1,True,-0.224,0.069,-0.36,-0.088,0.001,**,0.009,**
IL-8,B1,True,-0.133,0.098,-0.325,0.06,0.176,,0.226,
IL-8,B30,True,-0.155,0.083,-0.317,0.007,0.061,,0.11,
TNF-alpha,A1,True,0.004,0.02,-0.035,0.043,0.83,,0.83,
TNF-alpha,B1,True,0.014,0.021,-0.028,0.056,0.519,,0.584,
TNF-alpha,B30,True,0.024,0.015,-0.006,0.054,0.113,,0.17,
CRP,A1,True,-0.101,0.039,-0.177,-0.025,0.009,**,0.04,*
CRP,B1,True,-0.116,0.076,-0.265,0.033,0.127,,0.176,
CRP,B30,True,-0.165,0.1,-0.361,0.031,0.098,,0.16,
IFN-gamma,A1,True,-0.247,0.126,-0.494,-0.001,0.049,*,0.1,
IFN-gamma,B1,True,-0.29,0.135,-0.555,-0.024,0.032,*,0.096,
IFN-gamma,B30,True,-0.209,0.106,-0.417,0.0,0.05,,0.1,
IL-10,A1,True,0.027,0.009,0.009,0.045,0.004,**,0.024,*
IL-10,B1,True,-0.018,0.018,-0.053,0.016,0.302,,0.362,
IL-10,B30,True,-0.009,0.024,-0.057,0.038,0.699,,0.74,
