measure,tp,n,mean,sd
infindex,A1,8,-0.247,0.549
infindex,B1,8,-0.072,0.484
infindex,B30,9,-0.054,0.478
infindex,bsl,9,0.338,0.71
IL-6,A1,8,0.539,0.293
IL-6,B1,8,0.619,0.282
IL-6,B30,9,0.601,0.332
IL-6,bsl,9,0.76,0.387
IL-8,A1,8,1.868,0.376
IL-8,B1,8,1.961,0.224
IL-8,B30,9,1.934,0.34
IL-8,bsl,9,2.09,0.43
TNF-α,A1,8,0.932,0.139
TNF-α,B1,8,0.944,0.129
TNF-α,B30,9,0.971,0.113
TNF-α,bsl,9,0.947,0.126
CRP,A1,8,0.341,0.235
CRP,B1,8,0.434,0.271
CRP,B30,9,0.362,0.252
CRP,bsl,9,0.527,0.365
IFN-γ,A1,8,1.57,0.401
IFN-γ,B1,8,1.545,0.33
IFN-γ,B30,9,1.63,0.31
IFN-γ,bsl,9,1.839,0.305
IL-10,A1,8,0.29,0.101
IL-10,B1,8,0.232,0.076
IL-10,B30,9,0.261,0.12
IL-10,bsl,9,0.271,0.096
FGF-21,A1,8,4.977,0.587
FGF-21,B1,8,5.093,0.839
FGF-21,B30,9,4.709,0.742
FGF-21,bsl,9,4.734,1.087
GDF-15,A1,8,6.547,0.311
GDF-15,B1,8,6.609,0.301
GDF-15,B30,9,6.686,0.276
GDF-15,bsl,9,6.752,0.211
