measure,tp,smd,smd_ci_low,smd_ci_high,t,p_ttest,sig_ttest,p_ttest_adj,p_ttest_adj_sig,w,p_wilcoxon,sig_wilcoxon,p_wilcoxon_adj,p_wilcoxon_adj_sig
IL-7,A1,-0.75,-1.62,0.12,2.068,0.077,,0.489,,6.0,0.109,,0.626,
IL-7,B1,0.59,-0.24,1.42,-1.457,0.189,,0.64,,9.0,0.25,,0.757,
IL-7,B30,-0.42,-1.22,0.38,1.212,0.26,,0.651,,13.0,0.301,,0.757,
IL-12,A1,-0.04,-0.81,0.73,0.439,0.674,,0.832,,13.0,0.547,,0.861,
IL-12,B1,-0.08,-0.85,0.69,1.058,0.325,,0.683,,12.0,0.461,,0.83,
IL-12,B30,0.09,-0.68,0.86,-0.762,0.468,,0.685,,14.0,0.359,,0.809,
IL-15,A1,0.22,-0.56,1.0,-0.97,0.364,,0.685,,11.0,0.688,,0.882,
IL-15,B1,0.14,-0.63,0.91,-0.432,0.679,,0.832,,13.0,0.547,,0.861,
IL-15,B30,-0.12,-0.89,0.65,0.241,0.815,,0.934,,21.0,0.91,,1.0,
IL-16,A1,-0.55,-1.37,0.27,3.095,0.017,*,0.294,,3.0,0.039,*,0.492,
IL-16,B1,-0.36,-1.15,0.43,3.827,0.006,**,0.294,,1.0,0.016,*,0.492,
IL-16,B30,-0.19,-0.97,0.59,1.678,0.132,,0.593,,9.0,0.129,,0.677,
IL-27,A1,-0.01,-0.78,0.76,0.061,0.953,,0.962,,18.0,1.0,,1.0,
IL-27,B1,-0.01,-0.78,0.76,0.061,0.953,,0.962,,15.0,0.742,,0.882,
IL-27,B30,0.01,-0.76,0.78,-0.069,0.947,,0.962,,16.0,0.496,,0.861,
TSLP,A1,-0.24,-1.02,0.54,0.937,0.38,,0.685,,15.0,0.742,,0.882,
TSLP,B1,0.33,-0.46,1.12,-1.138,0.292,,0.658,,9.0,0.25,,0.757,
TSLP,B30,-0.32,-1.11,0.47,1.204,0.263,,0.651,,13.0,0.301,,0.757,
IL-1RA,A1,-0.53,-1.35,0.29,1.368,0.213,,0.64,,10.0,0.312,,0.757,
IL-1RA,B1,-0.54,-1.36,0.28,2.04,0.081,,0.489,,6.0,0.109,,0.626,
IL-1RA,B30,-0.78,-1.66,0.1,3.005,0.017,*,0.294,,4.0,0.027,*,0.492,
MCP-1,A1,-0.52,-1.34,0.3,1.303,0.234,,0.651,,10.0,0.312,,0.757,
MCP-1,B1,-0.41,-1.21,0.39,0.852,0.423,,0.685,,14.0,0.641,,0.882,
MCP-1,B30,-0.23,-1.01,0.55,0.851,0.42,,0.685,,20.0,0.82,,0.923,
MIP-1beta,A1,-0.22,-1.0,0.56,1.862,0.105,,0.509,,7.0,0.148,,0.719,
MIP-1beta,B1,-0.06,-0.83,0.71,0.278,0.789,,0.92,,14.0,0.641,,0.882,
MIP-1beta,B30,-0.02,-0.79,0.75,0.132,0.898,,0.962,,22.0,1.0,,1.0,
eotaxin,A1,0.04,-0.73,0.81,-0.183,0.86,,0.951,,17.0,0.945,,1.0,
eotaxin,B1,-0.22,-1.0,0.56,1.094,0.31,,0.673,,12.0,0.461,,0.83,
