measure,tp,smd,smd_ci_low,smd_ci_high,t,p_ttest,sig_ttest,p_ttest_adj,p_ttest_adj_sig,w,p_wilcoxon,sig_wilcoxon,p_wilcoxon_adj,p_wilcoxon_adj_sig
infindex,A1,-0.72,-1.58,0.14,3.128,0.017,*,0.05,*,3.0,0.039,*,0.078,
infindex,B1,-0.6,-1.43,0.23,2.413,0.047,*,0.07,,5.0,0.078,,0.078,
infindex,B30,-0.62,-1.46,0.22,1.986,0.082,,0.082,,7.0,0.074,,0.078,
IL-6,A1,-0.5,-1.32,0.32,3.326,0.013,*,0.155,,2.0,0.023,*,0.182,
IL-6,B1,-0.44,-1.25,0.37,2.346,0.051,,0.205,,5.0,0.078,,0.182,
IL-6,B30,-0.42,-1.22,0.38,2.064,0.073,,0.205,,6.0,0.055,,0.182,
IL-8,A1,-0.51,-1.33,0.31,3.214,0.015,*,0.155,,3.0,0.039,*,0.182,
IL-8,B1,-0.35,-1.14,0.44,1.345,0.221,,0.29,,9.0,0.25,,0.328,
IL-8,B30,-0.38,-1.18,0.42,1.875,0.098,,0.205,,10.0,0.164,,0.287,
CRP,A1,-0.37,-1.16,0.42,2.51,0.04,*,0.205,,4.0,0.055,,0.182,
CRP,B1,-0.35,-1.14,0.44,1.601,0.153,,0.23,,9.0,0.25,,0.328,
CRP,B30,-0.5,-1.32,0.32,1.654,0.137,,0.23,,5.0,0.039,*,0.182,
IL-10,A1,0.25,-0.53,1.03,-2.928,0.022,*,0.155,,1.0,0.016,*,0.182,
IL-10,B1,-0.2,-0.98,0.58,0.869,0.413,,0.482,,16.0,0.844,,0.886,
IL-10,B30,-0.08,-0.85,0.69,0.387,0.709,,0.745,,19.0,0.734,,0.857,
sIL-6R,A1,-0.11,-0.88,0.66,1.976,0.089,,0.205,,5.0,0.078,,0.182,
sIL-6R,B1,-0.22,-1.0,0.56,1.106,0.305,,0.377,,11.0,0.383,,0.473,
sIL-6R,B30,0.12,-0.65,0.89,-1.486,0.176,,0.246,,11.0,0.203,,0.305,
